"Pass","Status","RSIPeriod","RSIBuyBelow","RSISellAbove","ADXPeriod","ADXThreshold","NetProfit","ProfitFactor","RecoveryFactor","EquityDD","Trades","HistoryQuality"
"219","OK","9","20","80","10","50","-927.51","0.99","-0.11","7.93% (8 240.83)","3819","100% real ticks"
"220","OK","9","20","80","14","30","-3 045.28","0.88","-0.57","5.28% (5 297.68)","1218","100% real ticks"
"221","OK","9","20","80","14","40","359.74","1.00","0.04","9.00% (9 612.35)","4077","100% real ticks"
"222","OK","9","20","80","14","50","-27 901.46","0.83","-0.86","31.48% (32 330.38)","6574","100% real ticks"
"223","OK","9","20","80","18","30","-2 566.51","0.96","-0.30","8.37% (8 598.47)","2946","100% real ticks"
"224","OK","9","20","80","18","40","-16 609.50","0.89","-0.56","27.40% (29 439.06)","6204","100% real ticks"
"225","OK","9","20","80","18","50","-5 288.40","0.97","-0.31","15.88% (17 107.55)","7202","100% real ticks"
"226","OK","9","20","85","10","30","375.91","1.14","0.25","1.50% (1 512.80)","172","100% real ticks"
"227","OK","9","20","85","10","40","75.78","1.00","0.02","4.91% (4 939.33)","929","100% real ticks"
"228","OK","9","20","85","10","50","7 329.05","1.14","1.53","4.47% (4 776.46)","2705","100% real ticks"
"229","OK","9","20","85","14","30","-3 455.53","0.80","-0.56","6.16% (6 176.52)","765","100% real ticks"
"230","OK","9","20","85","14","40","3 854.58","1.07","0.63","5.85% (6 098.09)","2853","100% real ticks"
"231","OK","9","20","85","14","50","-20 800.58","0.83","-0.85","24.43% (24 536.78)","4847","100% real ticks"
"232","OK","9","20","85","18","30","579.16","1.01","0.11","4.99% (5 065.26)","2069","100% real ticks"
"233","OK","9","20","85","18","40","-9 550.41","0.91","-0.66","14.44% (14 505.97)","4546","100% real ticks"
"234","OK","9","20","85","18","50","-11 380.07","0.92","-0.71","15.50% (16 138.98)","5629","100% real ticks"
"235","OK","9","20","90","10","30","256.02","1.10","0.17","1.47% (1 476.26)","161","100% real ticks"
"236","OK","9","20","90","10","40","1 515.02","1.09","0.33","4.58% (4 602.87)","860","100% real ticks"
"237","OK","9","20","90","10","50","1 884.70","1.04","0.32","5.87% (5 900.01)","2409","100% real ticks"
"238","OK","9","20","90","14","30","-2 566.73","0.84","-0.54","4.72% (4 731.96)","701","100% real ticks"
"239","OK","9","20","90","14","40","-367.90","0.99","-0.05","6.87% (6 989.43)","2586","100% real ticks"
"240","OK","9","20","90","14","50","-16 941.99","0.85","-0.76","22.27% (22 312.69)","4383","100% real ticks"
"241","OK","9","20","90","18","30","-2 860.13","0.93","-0.48","5.98% (5 984.48)","1845","100% real ticks"
"242","OK","9","20","90","18","40","-9 969.42","0.90","-0.64","15.60% (15 631.77)","4099","100% real ticks"
"243","OK","9","20","90","18","50","-14 935.93","0.89","-0.75","19.86% (19 990.21)","5051","100% real ticks"
